Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
72.21.195.82,192.168.20.48,472500,5,472500.00,5.00,0.00,0.00
44.240.184.205,192.168.20.43,1316,1,1316.00,1.00,0.00,0.00
3.1.115.53,192.168.20.48,721852,8,721852.00,8.00,0.00,0.00
18.167.1.113,192.168.20.48,2230719,8,2230719.00,8.00,0.00,0.00
209.54.179.233,192.168.20.43,6116,3,6116.00,3.00,0.00,0.00
18.155.131.56,192.168.20.43,119955486,6,119955486.00,6.00,0.00,0.00
18.155.131.56,192.168.20.48,2415,3,2415.00,3.00,0.00,0.00
52.46.128.80,192.168.20.43,1523,2,1523.00,2.00,0.00,0.00
52.94.239.40,192.168.20.43,37192,12,37192.00,12.00,0.00,0.00
52.94.233.61,192.168.20.43,17861,3,17861.00,3.00,0.00,0.00
43.205.185.100,192.168.20.48,310770,6,310770.00,6.00,0.00,0.00
142.250.201.170,192.168.20.42,1375,1,1375.00,1.00,0.00,0.00
52.222.149.51,192.168.20.43,327,3,327.00,3.00,0.00,0.00
3.223.79.67,192.168.20.48,4424,3,4424.00,3.00,0.00,0.00
52.206.230.179,192.168.20.48,3890,2,3890.00,2.00,0.00,0.00
13.246.0.149,192.168.20.48,419335,3,419335.00,3.00,0.00,0.00
54.239.38.89,192.168.20.43,20993,1,20993.00,1.00,0.00,0.00
18.164.55.110,192.168.20.43,7928,3,7928.00,3.00,0.00,0.00
216.58.198.202,192.168.20.42,1447,3,1447.00,3.00,0.00,0.00
54.239.27.82,192.168.20.48,489632,2,489632.00,2.00,0.00,0.00
18.134.222.161,192.168.20.48,485913,9,485913.00,9.00,0.00,0.00
54.195.209.68,192.168.20.48,552846,4,552846.00,4.00,0.00,0.00
3.28.113.52,192.168.20.48,2827,2,2827.00,2.00,0.00,0.00
35.155.9.57,192.168.20.43,45617,29,22808.50,14.50,21551.50,13.50
192.168.20.1,192.168.20.40,12165,6,12165.00,6.00,0.00,0.00
192.168.20.1,224.0.0.251,11662419,23,11662419.00,23.00,0.00,0.00
13.48.15.205,192.168.20.48,370854,9,370854.00,9.00,0.00,0.00
54.203.166.245,192.168.20.48,972243,3,972243.00,3.00,0.00,0.00
142.250.201.163,192.168.20.42,2218,2,1109.00,1.00,74.00,0.00
192.168.20.254,239.255.255.250,3450086,1024,1725043.00,512.00,1557635.00,464.00
15.197.228.53,192.168.20.48,27579,1,27579.00,1.00,0.00,0.00
52.95.123.17,192.168.20.43,1233,1,1233.00,1.00,0.00,0.00
54.91.103.251,192.168.20.48,8654553,126,8654553.00,126.00,0.00,0.00
34.206.100.209,192.168.20.48,162370,7,162370.00,7.00,0.00,0.00
43.201.125.242,192.168.20.48,1201781,6,1201781.00,6.00,0.00,0.00
18.216.180.71,192.168.20.48,51260,2,51260.00,2.00,0.00,0.00
34.252.33.62,192.168.20.48,116959,3,58479.50,1.50,55713.50,0.50
216.58.209.234,192.168.20.42,1308,1,1308.00,1.00,0.00,0.00
142.250.178.131,192.168.20.42,1193,1,1193.00,1.00,0.00,0.00
34.237.111.59,192.168.20.48,7843524,110,3921762.00,55.00,3852343.00,54.00
54.206.221.238,192.168.20.48,949764,4,949764.00,4.00,0.00,0.00
52.94.241.146,192.168.20.48,924513,2,924513.00,2.00,0.00,0.00
18.163.70.120,192.168.20.48,1635560,5,1635560.00,5.00,0.00,0.00
54.243.58.104,192.168.20.48,2622454,31,2622454.00,31.00,0.00,0.00
107.20.127.221,192.168.20.48,150709,2,150709.00,2.00,0.00,0.00
54.215.58.112,192.168.20.48,12516,6,12516.00,6.00,0.00,0.00
54.173.93.68,192.168.20.48,21250,1,21250.00,1.00,0.00,0.00
3.233.174.130,192.168.20.48,20690,2,20690.00,2.00,0.00,0.00
35.186.224.25,192.168.20.42,1063,1,1063.00,1.00,0.00,0.00
67.220.241.5,192.168.20.43,1503,3,1503.00,3.00,0.00,0.00
54.205.24.65,192.168.20.48,936817,25,936817.00,25.00,0.00,0.00
44.228.215.143,192.168.20.43,5082,1,5082.00,1.00,0.00,0.00
209.54.183.244,192.168.20.43,9111,2,9111.00,2.00,0.00,0.00
44.198.224.47,192.168.20.48,2331220,57,2331220.00,57.00,0.00,0.00
209.54.183.240,192.168.20.43,1583,3,1583.00,3.00,0.00,0.00
52.76.51.147,192.168.20.48,456327,2,228163.50,1.00,226922.50,0.00
44.199.52.214,192.168.20.48,251302,20,251302.00,20.00,0.00,0.00
209.54.180.48,192.168.20.43,4131,3,4131.00,3.00,0.00,0.00
142.250.75.234,192.168.20.42,1473,3,1473.00,3.00,0.00,0.00
18.229.75.205,192.168.20.48,1257514,6,1257514.00,6.00,0.00,0.00
54.171.11.240,192.168.20.19,33089,72,16544.50,36.00,14693.50,32.00
52.16.104.93,192.168.20.43,1928,7,1928.00,7.00,0.00,0.00
52.16.104.93,192.168.20.48,46315,14,46315.00,14.00,0.00,0.00
216.58.214.170,192.168.20.42,2203,1,2203.00,1.00,0.00,0.00
216.58.206.234,192.168.20.42,5081,8,5081.00,8.00,0.00,0.00
192.168.20.42,216.58.215.48,436528019,313,436528019.00,313.00,0.00,0.00
192.168.20.42,216.58.214.174,671409,76,671409.00,76.00,0.00,0.00
192.168.20.42,216.58.206.234,550446816,222,550446816.00,222.00,0.00,0.00
192.168.20.42,142.250.178.131,215455667,181,215455667.00,181.00,0.00,0.00
192.168.20.42,255.255.255.255,90737753732,2834,45368876866.00,1417.00,41466610772.00,1296.00
192.168.20.42,216.58.201.234,256322325,63,256322325.00,63.00,0.00,0.00
192.168.20.42,216.239.35.8,740888,25,370444.00,12.50,358772.00,10.50
192.168.20.42,216.58.204.106,13252387,139,13252387.00,139.00,0.00,0.00
192.168.20.42,142.250.179.78,8104965,9,8104965.00,9.00,0.00,0.00
192.168.20.42,216.239.35.4,132102,23,132102.00,23.00,0.00,0.00
192.168.20.42,142.250.179.110,8136545,9,8136545.00,9.00,0.00,0.00
192.168.20.42,239.255.255.251,42539224633,1392,21269612316.50,696.00,19589333946.50,641.00
192.168.20.42,142.250.179.74,302147074,241,302147074.00,241.00,0.00,0.00
192.168.20.42,142.250.201.170,196184002,39,196184002.00,39.00,0.00,0.00
192.168.20.42,216.239.35.0,114442,20,114442.00,20.00,0.00,0.00
192.168.20.42,142.250.179.99,195254977,43,195254977.00,43.00,0.00,0.00
192.168.20.42,199.232.58.248,373224211,64,373224211.00,64.00,0.00,0.00
192.168.20.42,8.8.8.8,43205542149,5797,21602771074.50,2898.50,19742056754.50,2657.50
192.168.20.42,35.188.42.15,109730371,13,109730371.00,13.00,0.00,0.00
192.168.20.42,74.125.140.188,8682379146,302,4341189573.00,151.00,1928179863.00,67.00
192.168.20.42,224.0.0.250,43199222320,1412,21599611160.00,706.00,19799321737.00,647.00
192.168.20.42,142.250.75.227,22964227677,2084,22964227677.00,2084.00,0.00,0.00
192.168.20.42,216.58.214.74,9827984,27,9827984.00,27.00,0.00,0.00
192.168.20.42,224.0.0.251,50459142903,7164,25229571451.50,3582.00,23237618152.50,3267.00
192.168.20.42,216.58.198.202,95855242,53,95855242.00,53.00,0.00,0.00
192.168.20.42,216.58.214.78,2772145221,750,1386072610.50,375.00,1315846440.50,356.00
192.168.20.42,216.58.213.67,54436998865,4642,27218499432.50,2321.00,24727860457.50,2135.00
192.168.20.42,142.250.74.234,5104516,20,5104516.00,20.00,0.00,0.00
192.168.20.42,35.186.224.25,429636601,31,429636601.00,31.00,0.00,0.00
192.168.20.42,74.125.133.188,101317683621,4099,101317683621.00,4099.00,0.00,0.00
192.168.20.42,142.250.179.106,445221,12,445221.00,12.00,0.00,0.00
192.168.20.42,173.194.76.188,9749788891,426,4874894445.50,213.00,2214034931.50,97.00
192.168.20.42,142.250.178.142,24356029,27,24356029.00,27.00,0.00,0.00
192.168.20.42,142.250.74.238,3739707467,629,1869853733.50,314.50,1869719183.50,302.50
192.168.20.42,216.58.204.110,3096470760,518,3096470760.00,518.00,0.00,0.00
192.168.20.42,192.168.20.1,43131269676,2740,21565634838.00,1370.00,19705324409.00,1254.00
192.168.20.42,216.239.35.12,357826,29,178913.00,14.50,154082.00,12.50
192.168.20.42,224.0.0.22,53328584,8,53328584.00,8.00,0.00,0.00
192.168.20.42,142.250.201.163,299589545,25,149794772.50,12.50,45146352.50,7.50
192.168.20.42,151.101.2.217,429618568,30,429618568.00,30.00,0.00,0.00
192.168.20.42,142.250.75.234,94381772,59,94381772.00,59.00,0.00,0.00
192.168.20.42,216.58.213.70,194943813,20,194943813.00,20.00,0.00,0.00
192.168.20.42,216.58.213.74,5100433,22,5100433.00,22.00,0.00,0.00
192.168.20.42,216.58.214.170,155695493,30,155695493.00,30.00,0.00,0.00
192.168.20.42,216.58.209.234,195498156,35,195498156.00,35.00,0.00,0.00
192.168.20.42,216.58.213.78,215749203,160,215749203.00,160.00,0.00,0.00
192.168.20.40,255.255.255.255,4980037780,165,4980037780.00,165.00,0.00,0.00
192.168.20.40,192.168.20.42,3146,1,3146.00,1.00,0.00,0.00
216.58.204.106,192.168.20.42,1809,3,1809.00,3.00,0.00,0.00
54.225.146.82,192.168.20.48,366989,2,366989.00,2.00,0.00,0.00
3.6.255.210,192.168.20.48,5068,3,5068.00,3.00,0.00,0.00
192.168.20.45,82.64.32.33,3907,1,3907.00,1.00,0.00,0.00
192.168.20.45,8.8.8.8,71966,8,71966.00,8.00,0.00,0.00
