Date,Src IP,Dst IP,Total Flow Duration,Total Forward Packets
06/11/2022,192.168.20.43,54.85.101.161,97285495,46
06/11/2022,192.168.20.48,54.215.58.112,4202368,58
06/11/2022,142.250.74.238,192.168.20.42,5421,3
06/11/2022,192.168.20.48,18.163.70.120,5023879,58
06/11/2022,192.168.20.48,16.16.59.238,2127900,111
06/11/2022,192.168.20.48,50.17.237.83,908391,21
06/11/2022,23.22.232.191,192.168.20.48,385258,4
06/11/2022,52.46.133.19,192.168.20.48,190545,1
06/11/2022,192.168.20.43,35.155.9.57,73622867,85
06/11/2022,3.28.113.52,192.168.20.48,2827,2
05/11/2022,192.168.20.43,34.195.153.29,3841189,25
06/11/2022,192.168.20.48,54.92.128.108,2854254,43
05/11/2022,192.168.20.42,255.255.255.255,3902266094,121
06/11/2022,192.168.20.48,52.46.149.57,985542,17
06/11/2022,192.168.20.48,52.46.143.123,444774,14
05/11/2022,192.168.20.48,13.37.191.91,77971,18
06/11/2022,192.168.20.43,34.237.111.59,13233006,21
05/11/2022,192.168.20.48,255.255.255.255,1681,6
06/11/2022,192.168.20.48,52.46.157.6,673765,15
06/11/2022,192.168.20.43,54.239.26.255,377284,12
06/11/2022,52.46.131.168,192.168.20.48,14293,3
06/11/2022,192.168.20.48,15.197.228.53,879533,12
06/11/2022,192.168.20.48,52.44.87.149,1761100,38
06/11/2022,18.155.126.209,192.168.20.48,9511,6
06/11/2022,209.54.179.233,192.168.20.43,6116,3
05/11/2022,192.168.20.20,8.8.8.8,34962,2
06/11/2022,192.168.20.43,184.73.130.219,27844502,118
05/11/2022,192.168.20.43,52.200.163.50,60160909,4
06/11/2022,3.223.79.67,192.168.20.48,4424,3
06/11/2022,192.168.20.43,34.236.6.206,76890,1
06/11/2022,192.168.20.43,54.209.44.8,59882345,431
06/11/2022,13.48.15.205,192.168.20.48,370854,9
06/11/2022,18.229.75.205,192.168.20.48,1257514,6
05/11/2022,192.168.20.43,192.168.20.1,150699,60
06/11/2022,192.168.20.19,8.8.4.4,3666810,767
06/11/2022,192.168.20.43,54.226.11.35,14863582,59
06/11/2022,192.168.20.48,3.233.174.130,1259743,43
06/11/2022,18.164.55.101,192.168.20.43,4116,1
06/11/2022,192.168.20.43,34.195.153.29,27642084,180
06/11/2022,35.183.173.98,192.168.20.48,794082,12
05/11/2022,192.168.20.43,3.237.53.195,3407264,12
06/11/2022,192.168.20.43,52.204.152.47,16037654,118
06/11/2022,192.168.20.15,52.59.40.69,68272643809,2942
05/11/2022,52.222.149.51,192.168.20.43,327,3
06/11/2022,52.78.15.113,192.168.20.48,450100,1
06/11/2022,18.164.55.40,192.168.20.43,1411,1
06/11/2022,192.168.20.43,54.92.134.147,987107003,126
06/11/2022,192.168.20.43,72.21.207.143,461974,11
06/11/2022,192.168.20.42,216.58.209.234,195498156,35
06/11/2022,192.168.20.48,54.232.199.45,2601032,41
06/11/2022,192.168.20.43,52.200.163.50,1260562781,164
05/11/2022,192.168.20.15,52.59.40.69,3059683088,132
06/11/2022,192.168.20.43,44.211.15.145,1426214964,182
05/11/2022,192.168.20.45,239.255.255.250,2760991487,854
05/11/2022,192.168.20.42,239.255.255.251,1680278370,55
05/11/2022,192.168.20.48,239.255.255.250,1482,3
05/11/2022,192.168.20.48,104.199.65.124,2800376662,302
05/11/2022,192.168.20.48,52.16.104.93,579663905,66
06/11/2022,192.168.20.43,52.46.132.114,403413,13
06/11/2022,52.79.118.208,192.168.20.48,944374,7
06/11/2022,192.168.20.43,54.242.128.35,25476999,37
06/11/2022,18.102.88.160,192.168.20.48,10746,5
06/11/2022,192.168.20.48,3.227.83.236,67514352,1986
05/11/2022,192.168.20.19,54.171.11.240,198704,20
06/11/2022,192.168.20.48,52.119.198.101,1970390,35
06/11/2022,192.168.20.19,34.117.13.189,64782095919,3704
05/11/2022,192.168.20.43,34.210.228.239,17450072,36
06/11/2022,18.167.1.113,192.168.20.48,2230719,8
06/11/2022,199.232.58.248,192.168.20.42,320,6
06/11/2022,192.168.20.43,52.94.217.134,329305185,118
06/11/2022,54.238.156.226,192.168.20.48,1786944,12
06/11/2022,192.168.20.48,52.119.198.106,976312,16
05/11/2022,192.168.20.13,3.120.92.134,3479595681,137
06/11/2022,192.168.20.43,52.46.137.209,901828,24
06/11/2022,192.168.20.43,52.201.117.32,193399893,83
06/11/2022,52.46.128.39,192.168.20.48,113529,3
06/11/2022,18.164.55.96,192.168.20.43,4967,1
06/11/2022,192.168.20.48,13.50.30.171,2085349,128
06/11/2022,192.168.20.45,37.187.104.44,6149,1
06/11/2022,3.105.75.37,192.168.20.48,1898543,8
05/11/2022,192.168.20.43,52.45.200.111,109010787,14
06/11/2022,192.168.20.48,54.207.10.176,5288745,76
06/11/2022,43.201.125.242,192.168.20.48,1201781,6
06/11/2022,192.168.20.43,209.54.178.134,438191,11
06/11/2022,52.46.137.255,192.168.20.48,58598,4
05/11/2022,192.168.20.10,35.195.102.202,3364350696,473
06/11/2022,192.168.20.43,34.194.49.5,1008819075,126
05/11/2022,23.22.232.191,192.168.20.48,1352,1
06/11/2022,54.225.152.58,192.168.20.48,397142,2
06/11/2022,192.168.20.48,3.227.34.105,2420724,42
06/11/2022,192.168.20.43,52.95.123.17,150865994,40
06/11/2022,52.202.2.34,192.168.20.48,1978024,31
06/11/2022,52.119.198.106,192.168.20.48,268689,1
05/11/2022,192.168.20.42,192.168.20.1,1860310429,116
05/11/2022,192.168.20.48,18.214.180.6,2467568,72
06/11/2022,192.168.20.18,129.6.15.28,15254691,8
06/11/2022,34.252.33.62,192.168.20.48,2766,2
06/11/2022,192.168.20.43,52.46.149.20,102282211,21
06/11/2022,192.168.20.48,3.28.113.52,1671644,19
06/11/2022,192.168.20.43,54.239.35.211,81728940,53
06/11/2022,54.85.101.161,192.168.20.48,291485,2
06/11/2022,192.168.20.43,54.239.35.210,110239999,53
06/11/2022,192.168.20.43,35.173.14.214,45936090,292
06/11/2022,15.184.245.166,192.168.20.48,49020,2
06/11/2022,192.168.20.48,54.239.27.82,1766162,36
06/11/2022,192.168.20.48,54.164.163.115,46148016,1348
05/11/2022,192.168.20.48,18.140.188.91,2070797,17
06/11/2022,192.168.20.19,120.25.115.20,4693819,18
05/11/2022,192.168.20.43,146.59.88.209,29647,1
06/11/2022,192.168.20.43,52.95.125.12,167174590,39
06/11/2022,192.168.20.48,34.250.50.152,928643,93
06/11/2022,192.168.20.48,52.20.206.121,40366905,1245
06/11/2022,54.239.35.210,192.168.20.43,1039,1
06/11/2022,108.136.92.85,192.168.20.48,751692,2
06/11/2022,192.168.20.43,52.202.2.34,37099475,21
06/11/2022,3.140.228.75,192.168.20.48,800276,4
05/11/2022,192.168.20.43,34.232.93.236,4384576,25
06/11/2022,192.168.20.48,52.71.238.202,1316195,28
05/11/2022,192.168.20.19,54.171.25.87,20678992,64
05/11/2022,192.168.20.19,120.25.115.20,256506,1
06/11/2022,192.168.20.43,3.224.249.36,96650707,36
06/11/2022,34.231.63.97,192.168.20.48,2217,2
05/11/2022,192.168.20.43,35.155.9.57,62197139,315
06/11/2022,192.168.20.43,100.21.0.103,44326377,108
06/11/2022,192.168.20.48,52.46.133.103,442280,12
06/11/2022,52.94.232.195,192.168.20.43,12555,3
05/11/2022,192.168.20.19,173.194.76.206,2788641842,126
06/11/2022,192.168.20.48,72.21.195.82,1802883,31
06/11/2022,192.168.20.43,52.222.145.55,60513235,40
06/11/2022,52.84.174.68,192.168.20.43,1092,1
05/11/2022,192.168.20.42,8.8.8.8,1860714320,241
06/11/2022,192.168.20.42,216.58.206.234,550446816,222
06/11/2022,192.168.20.48,3.226.187.174,156721,5
06/11/2022,54.159.111.180,192.168.20.43,83077,4
06/11/2022,192.168.20.48,43.201.125.242,7466560,74
05/11/2022,192.168.20.19,216.239.35.0,5848,1
05/11/2022,192.168.20.19,216.239.35.4,5639,1
05/11/2022,192.168.20.19,216.239.35.8,5661,1
06/11/2022,192.168.20.43,52.46.131.169,869453,21
06/11/2022,192.168.20.45,239.255.255.250,61650530912,19022
05/11/2022,192.168.20.48,8.8.8.8,218995,26
06/11/2022,192.168.20.42,239.255.255.251,40858946263,1337
06/11/2022,192.168.20.43,52.46.145.14,489000,12
06/11/2022,192.168.20.43,50.17.237.83,96660304,39
06/11/2022,192.168.20.48,239.255.255.250,3745,33
05/11/2022,192.168.20.43,52.214.227.89,2786656600,442
05/11/2022,52.222.149.107,192.168.20.43,9089,1
06/11/2022,192.168.20.43,18.210.245.179,96272714,49
06/11/2022,192.168.20.19,8.8.8.8,4256420,805
06/11/2022,192.168.20.48,34.252.33.62,397643,34
06/11/2022,192.168.20.48,15.188.36.183,518477,107
06/11/2022,192.168.20.43,3.89.179.154,1217171057,154
06/11/2022,192.168.20.19,54.171.11.240,2865194,340
06/11/2022,192.168.20.43,18.232.172.63,767159912,98
06/11/2022,192.168.20.48,34.228.101.107,2223139,37
05/11/2022,52.79.118.208,192.168.20.48,352277,2
06/11/2022,192.168.20.48,3.112.156.31,9493914,97
05/11/2022,192.168.20.42,74.125.140.188,2413009710,84
06/11/2022,142.250.201.170,192.168.20.42,1375,1
06/11/2022,192.168.20.48,13.125.158.78,8227638,94
06/11/2022,52.46.149.63,192.168.20.43,14460,2
06/11/2022,54.239.26.255,192.168.20.43,1793,3
06/11/2022,192.168.20.43,34.192.154.181,49022321,444
05/11/2022,192.168.20.43,18.164.55.40,1812582,12
06/11/2022,192.168.20.48,54.225.152.58,1871903,47
06/11/2022,216.58.213.67,192.168.20.42,1178,1
06/11/2022,192.168.20.48,52.45.237.36,77719,1
06/11/2022,54.68.250.149,192.168.20.48,371471,4
05/11/2022,192.168.20.43,3.208.140.212,3711274,14
05/11/2022,192.168.20.12,3.120.92.134,2820680064,127
06/11/2022,192.168.20.42,216.58.198.202,95855242,53
06/11/2022,35.171.216.243,192.168.20.48,17086,2
05/11/2022,192.168.20.43,34.202.49.39,109377325,14
05/11/2022,192.168.20.43,151.101.1.16,328903,179
06/11/2022,18.102.55.180,192.168.20.48,3317,2
06/11/2022,192.168.20.43,52.119.197.246,4068968,98
05/11/2022,192.168.20.43,3.211.221.42,221253372,28
05/11/2022,192.168.20.43,54.209.44.8,4163040,31
05/11/2022,192.168.20.19,34.117.13.189,2960639625,167
06/11/2022,192.168.20.43,54.68.57.171,87772232,204
06/11/2022,52.84.179.94,192.168.20.43,20158,5
06/11/2022,54.91.103.251,192.168.20.48,8654553,126
06/11/2022,18.140.188.91,192.168.20.48,376124,6
06/11/2022,35.164.36.47,192.168.20.48,598821,2
05/11/2022,13.37.191.91,192.168.20.48,1970,1
06/11/2022,192.168.20.43,52.84.179.94,213992391,378
06/11/2022,192.168.20.19,54.217.52.155,11489201827,2857
05/11/2022,209.54.178.164,192.168.20.48,39918,1
05/11/2022,192.168.20.43,8.8.8.8,525166,57
06/11/2022,52.206.230.179,192.168.20.48,3890,2
06/11/2022,192.168.20.48,13.248.200.177,136658,27
06/11/2022,52.76.51.147,192.168.20.48,455086,1
06/11/2022,192.168.20.48,54.161.46.108,2742180,83
06/11/2022,192.168.20.43,23.22.235.16,982282449,126
05/11/2022,192.168.20.43,107.20.216.54,109336600,14
05/11/2022,192.168.20.43,3.226.196.104,52787390,1632
06/11/2022,44.193.236.65,192.168.20.48,5646425,71
06/11/2022,52.46.144.253,192.168.20.43,3010,3
06/11/2022,50.17.237.83,192.168.20.48,1050,1
05/11/2022,192.168.20.19,52.210.32.69,384073501,173
06/11/2022,192.168.20.48,23.22.232.191,2651104,62
06/11/2022,192.168.20.48,52.84.177.20,60175265,1552
06/11/2022,192.168.20.43,52.1.172.87,20718609,187
06/11/2022,192.168.20.48,34.195.175.66,8031532,199
06/11/2022,192.168.20.48,54.85.101.161,457776,22
06/11/2022,3.76.1.196,192.168.20.48,7019,5
05/11/2022,192.168.20.43,224.0.0.251,499443045,13
06/11/2022,192.168.20.43,72.21.195.82,115892750,24
06/11/2022,192.168.20.43,54.92.128.108,97056742,36
06/11/2022,192.168.20.43,3.226.196.104,26459240,203
06/11/2022,192.168.20.43,52.94.233.61,496751,30
