Src IP,Dst IP,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
216.58.215.48,192.168.20.42,4980.00,3.00,0.00,0.00
3.1.115.53,192.168.20.48,721852.00,8.00,0.00,0.00
18.167.1.113,192.168.20.48,2230719.00,8.00,0.00,0.00
209.54.179.233,192.168.20.43,6116.00,3.00,0.00,0.00
52.46.145.14,192.168.20.43,5266.00,3.00,0.00,0.00
18.155.131.56,192.168.20.43,119955486.00,6.00,0.00,0.00
18.155.131.56,192.168.20.48,2415.00,3.00,0.00,0.00
52.119.198.106,192.168.20.48,268689.00,1.00,0.00,0.00
52.46.129.152,192.168.20.43,144.00,2.00,0.00,0.00
52.46.128.80,192.168.20.43,1523.00,2.00,0.00,0.00
52.94.233.61,192.168.20.43,17861.00,3.00,0.00,0.00
142.250.201.170,192.168.20.42,1375.00,1.00,0.00,0.00
142.250.179.99,192.168.20.42,2537.00,3.00,0.00,0.00
52.222.149.51,192.168.20.43,327.00,3.00,0.00,0.00
3.223.79.67,192.168.20.48,4424.00,3.00,0.00,0.00
54.239.19.122,192.168.20.48,1200.00,2.00,0.00,0.00
35.171.216.243,192.168.20.48,17086.00,2.00,0.00,0.00
52.206.230.179,192.168.20.48,3890.00,2.00,0.00,0.00
34.228.101.107,192.168.20.48,61245.00,2.00,0.00,0.00
54.239.38.89,192.168.20.43,20993.00,1.00,0.00,0.00
52.95.127.117,192.168.20.43,2633.00,1.00,0.00,0.00
52.46.136.110,192.168.20.43,1430.00,3.00,0.00,0.00
18.164.55.110,192.168.20.43,7928.00,3.00,0.00,0.00
216.58.198.202,192.168.20.42,1447.00,3.00,0.00,0.00
54.239.27.82,192.168.20.48,489632.00,2.00,0.00,0.00
216.58.214.78,192.168.20.42,1058.00,1.00,0.00,0.00
18.134.222.161,192.168.20.48,485913.00,9.00,0.00,0.00
54.195.209.68,192.168.20.48,552846.00,4.00,0.00,0.00
44.193.236.65,192.168.20.48,5646425.00,71.00,0.00,0.00
3.28.113.52,192.168.20.48,2827.00,2.00,0.00,0.00
54.187.92.102,192.168.20.43,113.00,2.00,0.00,0.00
52.214.227.89,192.168.20.43,292470166.00,51.00,292468695.00,46.00
52.214.227.89,192.168.20.48,38677.00,25.00,0.00,0.00
35.155.9.57,192.168.20.43,22808.50,14.50,21551.50,13.50
192.168.20.1,192.168.20.40,12165.00,6.00,0.00,0.00
192.168.20.1,224.0.0.251,11662419.00,23.00,0.00,0.00
52.94.236.45,192.168.20.43,3513.00,6.00,0.00,0.00
13.48.15.205,192.168.20.48,370854.00,9.00,0.00,0.00
209.54.183.188,192.168.20.43,1364.00,1.00,0.00,0.00
52.46.133.19,192.168.20.48,190545.00,1.00,0.00,0.00
54.166.21.152,192.168.20.48,817044.00,10.50,768044.00,6.50
52.94.235.74,192.168.20.43,2859.00,1.00,0.00,0.00
142.250.201.163,192.168.20.42,1109.00,1.00,74.00,0.00
192.168.20.19,54.217.52.155,5977927443.00,1500.00,5511274384.00,1357.00
192.168.20.19,203.107.6.88,2081684.50,10.00,1873469.50,9.00
192.168.20.19,216.239.35.8,57446.00,10.00,51785.00,9.00
192.168.20.19,54.74.123.186,130460982.50,358.50,109851576.50,303.50
192.168.20.19,63.32.248.122,1428197.00,175.00,1353842.00,165.00
192.168.20.19,8.8.4.4,1942392.00,410.50,1724418.00,356.50
192.168.20.19,54.171.25.87,20678992.00,64.00,0.00,0.00
192.168.20.19,216.239.35.4,57706.50,10.00,52067.50,9.00
192.168.20.19,173.194.76.206,32190782688.50,1466.50,29402140846.50,1340.50
192.168.20.19,224.0.0.22,187772084.00,707.00,172817501.00,649.00
192.168.20.19,216.239.35.0,58358.00,10.00,52510.00,9.00
192.168.20.19,52.210.32.69,384073501.00,173.00,0.00,0.00
192.168.20.19,8.8.8.8,2188789.50,417.50,2067630.50,387.50
192.168.20.19,108.128.53.179,387022926.00,115.00,0.00,0.00
192.168.20.19,54.78.125.193,169966927.00,458.50,143026555.00,383.50
192.168.20.19,239.255.255.250,28453098168.00,5052.00,26021731570.00,4620.00
192.168.20.19,34.117.13.189,33871367772.00,1935.50,30910728147.00,1768.50
192.168.20.19,54.171.11.240,1531949.00,180.00,1333245.00,160.00
192.168.20.19,120.25.115.20,2475162.50,9.50,2218656.50,8.50
192.168.20.18,51.195.117.133,45305556.50,37.50,42133084.50,34.50
192.168.20.18,129.6.15.28,15254691.00,8.00,0.00,0.00
192.168.20.18,52.31.222.8,9935487.00,837.00,0.00,0.00
52.46.153.141,192.168.20.43,19530.00,3.00,0.00,0.00
209.54.181.79,192.168.20.43,2007.00,3.00,0.00,0.00
44.207.137.197,192.168.20.48,85409.00,3.00,0.00,0.00
15.197.228.53,192.168.20.48,27579.00,1.00,0.00,0.00
52.95.123.17,192.168.20.43,1233.00,1.00,0.00,0.00
54.157.203.98,192.168.20.48,1222595.00,24.00,0.00,0.00
15.188.36.183,192.168.20.48,14301.00,6.00,0.00,0.00
54.91.103.251,192.168.20.48,8654553.00,126.00,0.00,0.00
192.168.20.13,255.255.255.255,3505032436.00,731.00,0.00,0.00
192.168.20.13,3.120.92.134,35910253488.00,1529.50,32430657807.00,1392.50
192.168.20.12,255.255.255.255,78204311455.00,16306.00,0.00,0.00
192.168.20.12,3.120.92.134,35313376769.00,1536.00,32492696705.00,1409.00
34.206.100.209,192.168.20.48,162370.00,7.00,0.00,0.00
3.227.117.250,192.168.20.48,4807.00,2.00,0.00,0.00
43.201.125.242,192.168.20.48,1201781.00,6.00,0.00,0.00
192.168.20.10,35.195.102.202,39722840794.00,5580.50,36358490098.00,5107.50
18.164.55.96,192.168.20.43,4967.00,1.00,0.00,0.00
34.252.33.62,192.168.20.48,58479.50,1.50,55713.50,0.50
35.167.225.196,192.168.20.43,1592.00,1.00,0.00,0.00
35.167.225.196,192.168.20.48,28011.00,3.00,0.00,0.00
216.58.209.234,192.168.20.42,1308.00,1.00,0.00,0.00
192.168.20.15,255.255.255.255,41543561823.50,14198.00,37976574336.50,12979.00
192.168.20.15,52.59.40.69,35666163448.50,1537.00,32606480360.50,1405.00
52.84.179.94,192.168.20.43,20158.00,5.00,0.00,0.00
52.20.206.121,192.168.20.48,3165280.00,53.00,0.00,0.00
18.156.17.11,192.168.20.48,48637.00,2.00,0.00,0.00
209.54.181.98,192.168.20.48,478274.00,2.00,0.00,0.00
54.238.156.226,192.168.20.48,1786944.00,12.00,0.00,0.00
34.237.111.59,192.168.20.48,7774105.00,109.00,0.00,0.00
54.206.221.238,192.168.20.48,949764.00,4.00,0.00,0.00
52.46.137.255,192.168.20.48,58598.00,4.00,0.00,0.00
52.94.241.146,192.168.20.48,924513.00,2.00,0.00,0.00
52.71.238.202,192.168.20.48,1025.00,1.00,0.00,0.00
54.194.135.95,192.168.20.20,3383.00,2.00,0.00,0.00
18.163.70.120,192.168.20.48,1635560.00,5.00,0.00,0.00
54.243.58.104,192.168.20.48,2622454.00,31.00,0.00,0.00
107.20.127.221,192.168.20.48,150709.00,2.00,0.00,0.00
54.215.58.112,192.168.20.48,12516.00,6.00,0.00,0.00
54.173.93.68,192.168.20.48,21250.00,1.00,0.00,0.00
54.239.35.210,192.168.20.43,1039.00,1.00,0.00,0.00
13.125.158.78,192.168.20.48,891004.00,9.00,0.00,0.00
34.214.111.43,192.168.20.48,249993.50,2.00,244460.50,0.00
157.241.5.46,192.168.20.48,9101.00,4.00,0.00,0.00
3.233.174.130,192.168.20.48,20690.00,2.00,0.00,0.00
35.186.224.25,192.168.20.42,1063.00,1.00,0.00,0.00
52.72.244.88,192.168.20.48,377786.00,5.00,0.00,0.00
209.54.178.164,192.168.20.48,39918.00,1.00,0.00,0.00
44.228.215.143,192.168.20.43,5082.00,1.00,0.00,0.00
173.194.76.206,192.168.20.19,623.00,2.00,0.00,0.00
209.54.183.244,192.168.20.43,9111.00,2.00,0.00,0.00
44.198.224.47,192.168.20.48,2331220.00,57.00,0.00,0.00
54.225.152.58,192.168.20.48,397142.00,2.00,0.00,0.00
209.54.183.240,192.168.20.43,1583.00,3.00,0.00,0.00
52.76.51.147,192.168.20.48,228163.50,1.00,226922.50,0.00
3.227.83.236,192.168.20.48,4898922.00,74.00,0.00,0.00
142.250.75.234,192.168.20.42,1473.00,3.00,0.00,0.00
52.78.15.113,192.168.20.48,450100.00,1.00,0.00,0.00
52.84.174.66,192.168.20.43,1224.00,1.00,0.00,0.00
52.84.174.68,192.168.20.43,1092.00,1.00,0.00,0.00
3.76.1.196,192.168.20.48,7019.00,5.00,0.00,0.00
18.229.75.205,192.168.20.48,1257514.00,6.00,0.00,0.00
52.16.104.93,192.168.20.43,1928.00,7.00,0.00,0.00
52.16.104.93,192.168.20.48,46315.00,14.00,0.00,0.00
216.58.214.170,192.168.20.42,2203.00,1.00,0.00,0.00
54.162.217.75,192.168.20.48,1119.00,1.00,0.00,0.00
52.46.131.168,192.168.20.48,14293.00,3.00,0.00,0.00
54.68.250.149,192.168.20.48,371471.00,4.00,0.00,0.00
192.168.20.42,216.58.215.48,436528019.00,313.00,0.00,0.00
192.168.20.42,216.58.214.174,671409.00,76.00,0.00,0.00
192.168.20.42,216.58.206.234,550446816.00,222.00,0.00,0.00
192.168.20.42,142.250.178.131,215455667.00,181.00,0.00,0.00
192.168.20.42,255.255.255.255,45368876866.00,1417.00,41466610772.00,1296.00
192.168.20.42,216.58.201.234,256322325.00,63.00,0.00,0.00
192.168.20.42,216.239.35.8,370444.00,12.50,358772.00,10.50
192.168.20.42,216.58.204.106,13252387.00,139.00,0.00,0.00
192.168.20.42,216.239.35.4,132102.00,23.00,0.00,0.00
192.168.20.42,142.250.179.110,8136545.00,9.00,0.00,0.00
192.168.20.42,239.255.255.251,21269612316.50,696.00,19589333946.50,641.00
192.168.20.42,216.239.35.0,114442.00,20.00,0.00,0.00
192.168.20.42,8.8.8.8,21602771074.50,2898.50,19742056754.50,2657.50
192.168.20.42,74.125.140.188,4341189573.00,151.00,1928179863.00,67.00
192.168.20.42,224.0.0.250,1800289423.00,59.00,0.00,0.00
192.168.20.42,142.250.75.227,22964227677.00,2084.00,0.00,0.00
192.168.20.42,224.0.0.251,1991953299.00,315.00,0.00,0.00
192.168.20.42,216.58.198.202,95855242.00,53.00,0.00,0.00
192.168.20.42,216.58.213.67,27218499432.50,2321.00,24727860457.50,2135.00
192.168.20.42,142.250.74.234,5104516.00,20.00,0.00,0.00
192.168.20.42,35.186.224.25,429636601.00,31.00,0.00,0.00
192.168.20.42,74.125.133.188,101317683621.00,4099.00,0.00,0.00
192.168.20.42,142.250.179.106,445221.00,12.00,0.00,0.00
192.168.20.42,173.194.76.188,2660859514.00,116.00,0.00,0.00
192.168.20.42,142.250.178.142,24356029.00,27.00,0.00,0.00
192.168.20.42,142.250.74.238,3739572917.00,617.00,0.00,0.00
192.168.20.42,216.58.204.110,3096470760.00,518.00,0.00,0.00
192.168.20.42,192.168.20.1,21565634838.00,1370.00,19705324409.00,1254.00
192.168.20.42,216.239.35.12,178913.00,14.50,154082.00,12.50
192.168.20.42,224.0.0.22,53328584.00,8.00,0.00,0.00
192.168.20.42,142.250.75.234,94381772.00,59.00,0.00,0.00
192.168.20.42,216.58.213.70,194943813.00,20.00,0.00,0.00
192.168.20.42,216.58.213.74,5100433.00,22.00,0.00,0.00
192.168.20.42,216.58.214.170,155695493.00,30.00,0.00,0.00
192.168.20.42,216.58.209.234,195498156.00,35.00,0.00,0.00
192.168.20.42,216.58.213.78,215749203.00,160.00,0.00,0.00
192.168.20.40,255.255.255.255,4980037780.00,165.00,0.00,0.00
192.168.20.40,192.168.20.42,3146.00,1.00,0.00,0.00
216.58.204.106,192.168.20.42,1809.00,3.00,0.00,0.00
54.225.146.82,192.168.20.48,366989.00,2.00,0.00,0.00
13.32.145.118,192.168.20.48,93511.00,1.00,0.00,0.00
151.101.1.16,192.168.20.43,1038.00,8.00,0.00,0.00
3.6.255.210,192.168.20.48,5068.00,3.00,0.00,0.00
0.0.0.0,255.255.255.255,1056138.00,8.00,0.00,0.00
52.46.137.106,192.168.20.43,1194.00,2.00,0.00,0.00
54.207.10.176,192.168.20.48,779331.00,4.00,0.00,0.00
54.161.26.204,192.168.20.48,332591.00,3.00,0.00,0.00
192.168.20.45,8.8.8.8,71966.00,8.00,0.00,0.00
192.168.20.45,239.255.255.250,32205761199.50,9938.00,29444769712.50,9084.00
192.168.20.45,121.174.142.81,258875.00,1.00,0.00,0.00
192.168.20.45,54.183.77.141,61846703488.00,5468.00,0.00,0.00
192.168.20.45,37.187.104.44,6149.00,1.00,0.00,0.00
192.168.20.43,72.21.195.82,115892750.00,24.00,0.00,0.00
192.168.20.43,34.227.127.81,998019655.00,126.00,0.00,0.00
192.168.20.43,44.240.184.205,37007464.00,123.00,0.00,0.00
192.168.20.43,209.54.179.233,487563.00,12.00,0.00,0.00
192.168.20.43,18.155.131.56,90285620.50,38.50,30229424.50,26.50
192.168.20.43,52.46.145.14,489000.00,12.00,0.00,0.00
192.168.20.43,8.8.4.4,1841.00,1.00,0.00,0.00
192.168.20.43,3.208.140.212,16719516.50,79.00,13008242.50,65.00
192.168.20.43,52.94.217.134,329305185.00,118.00,0.00,0.00
192.168.20.43,52.46.129.152,552960.00,33.00,0.00,0.00
192.168.20.43,52.46.128.80,408814.00,12.00,0.00,0.00
192.168.20.43,18.233.46.225,35856166.00,270.00,0.00,0.00
192.168.20.43,52.94.239.40,1757445.00,54.00,0.00,0.00
192.168.20.43,3.222.37.116,96843273.00,42.00,0.00,0.00
192.168.20.43,52.94.233.61,496751.00,30.00,0.00,0.00
192.168.20.43,3.223.79.67,388277628.00,188.00,0.00,0.00
192.168.20.43,52.222.149.51,196163.00,18.00,0.00,0.00
192.168.20.43,8.8.8.8,525166.00,57.00,0.00,0.00
192.168.20.43,3.218.120.56,1095094419.00,140.00,0.00,0.00
192.168.20.43,34.228.101.107,96716691.00,34.00,0.00,0.00
192.168.20.43,34.204.132.63,193546192.00,102.00,0.00,0.00
192.168.20.43,67.220.240.183,508798.00,23.00,0.00,0.00
192.168.20.43,54.239.38.89,28483850.00,14.00,0.00,0.00
192.168.20.43,52.95.127.117,82432978.00,51.00,0.00,0.00
192.168.20.43,52.119.198.101,997496.00,22.00,0.00,0.00
192.168.20.43,52.119.198.189,447460.00,11.00,0.00,0.00
192.168.20.43,52.222.174.11,60116722.00,80.00,0.00,0.00
192.168.20.43,18.164.55.110,284010510.00,96.00,0.00,0.00
192.168.20.43,34.194.49.5,1008819075.00,126.00,0.00,0.00
192.168.20.43,100.21.0.103,44326377.00,108.00,0.00,0.00
192.168.20.43,54.239.27.82,76763989.00,11.00,0.00,0.00
192.168.20.43,44.211.15.145,1426214964.00,182.00,0.00,0.00
192.168.20.43,52.217.233.217,8959046.00,304.00,0.00,0.00
192.168.20.43,44.193.236.65,12425821.00,21.00,0.00,0.00
192.168.20.43,54.187.92.102,89548756.00,199.00,0.00,0.00
192.168.20.43,23.22.235.16,982282449.00,126.00,0.00,0.00
192.168.20.43,52.214.227.89,11300802058.00,1750.50,8514145458.00,1308.50
192.168.20.43,52.70.101.206,31869782.00,185.00,0.00,0.00
192.168.20.43,35.155.9.57,67910003.00,200.00,5712864.00,115.00
192.168.20.43,192.168.20.1,1754899.50,710.00,1604200.50,650.00
192.168.20.43,72.21.207.143,461974.00,11.00,0.00,0.00
192.168.20.43,209.54.183.188,417259.00,12.00,0.00,0.00
192.168.20.43,54.166.21.152,25715677.00,42.00,0.00,0.00
192.168.20.43,52.94.235.74,460765.00,14.00,0.00,0.00
192.168.20.43,209.54.180.27,226730688.00,30.00,0.00,0.00
192.168.20.43,54.239.31.104,62833241.00,27.00,0.00,0.00
192.168.20.43,239.255.255.250,100863386.00,1200.00,0.00,0.00
192.168.20.43,34.239.216.180,35966125.00,276.00,0.00,0.00
192.168.20.43,54.92.134.147,987107003.00,126.00,0.00,0.00
192.168.20.43,52.46.153.141,476491.00,26.00,0.00,0.00
192.168.20.43,184.73.130.219,27844502.00,118.00,0.00,0.00
192.168.20.43,44.227.96.221,162223065.00,295.00,0.00,0.00
192.168.20.43,54.157.203.98,258737817.00,46.00,0.00,0.00
192.168.20.43,52.95.123.17,150865994.00,40.00,0.00,0.00
192.168.20.43,18.164.55.96,394971.00,24.00,0.00,0.00
192.168.20.43,52.39.190.49,88209024.00,210.00,0.00,0.00
192.168.20.43,35.167.225.196,43553922.00,93.00,0.00,0.00
192.168.20.43,52.84.179.94,137093061.00,222.00,76899330.00,156.00
192.168.20.43,52.95.126.126,427283.00,13.00,0.00,0.00
192.168.20.43,52.36.138.241,84450561.00,235.00,0.00,0.00
192.168.20.43,52.119.197.246,4068968.00,98.00,0.00,0.00
192.168.20.43,52.95.125.12,167174590.00,39.00,0.00,0.00
192.168.20.43,52.45.200.111,109010787.00,14.00,0.00,0.00
192.168.20.43,3.220.182.54,8331981.00,57.00,0.00,0.00
192.168.20.43,34.203.4.32,96811361.00,47.00,0.00,0.00
192.168.20.43,34.237.111.59,13233006.00,21.00,0.00,0.00
192.168.20.43,3.232.127.207,45455744.00,361.00,0.00,0.00
192.168.20.43,67.220.240.30,459754.00,12.00,0.00,0.00
192.168.20.43,54.70.5.180,153416060.50,97.50,13750763.50,6.50
192.168.20.43,34.194.31.220,494108325.00,63.00,385081248.00,49.00
192.168.20.43,35.173.14.214,45936090.00,292.00,0.00,0.00
192.168.20.43,52.46.132.114,403413.00,13.00,0.00,0.00
192.168.20.43,54.243.58.104,12705101.00,20.00,0.00,0.00
192.168.20.43,52.95.123.112,410931.00,13.00,0.00,0.00
192.168.20.43,52.94.231.222,577421.00,17.00,0.00,0.00
192.168.20.43,34.234.151.208,552685595.00,74.00,0.00,0.00
192.168.20.43,54.239.35.211,81728940.00,53.00,0.00,0.00
192.168.20.43,54.239.35.210,110239999.00,53.00,0.00,0.00
192.168.20.43,176.32.98.79,1159037.00,33.00,0.00,0.00
192.168.20.43,54.192.107.171,52999823.00,15.00,0.00,0.00
192.168.20.43,52.216.27.126,17308851.00,139.00,0.00,0.00
192.168.20.43,3.211.221.42,221253372.00,28.00,0.00,0.00
192.168.20.43,52.46.158.193,576316.00,11.00,0.00,0.00
192.168.20.43,67.220.241.5,929049.00,41.00,0.00,0.00
